Rank,Team,Year,Total_Game,Win,Draw,Loss,GF,GA,GD,Total_Score
2,SCG MUANGTHONG UNITED,2015,34,21,8,5,81,35,46,71
3,Suphanburi F.C.,2015,34,16,11,7,60,39,21,59
4,Chonburi F.C.,2015,34,15,12,7,62,44,18,57
5,Bangkok United F.C.,2015,34,16,9,9,59,47,12,57
6,BG Pathum United F.C.,2015,34,15,11,8,47,38,9,56
7,Ratchaburi Mitr Phol F.C.,2015,34,17,4,13,48,50,-2,55
8,Nakhon Ratchasima F.C.,2015,34,13,10,11,37,43,-6,49
9,Chiangrai United F.C.,2015,34,12,8,14,42,57,-15,44
10,Army United F.C.,2015,34,11,8,15,43,47,-4,41
11,Osotsapa M-150 Samutprakan F.C.,2015,34,10,9,15,40,54,-14,39
12,Chainat Hornbill F.C.,2015,34,9,10,15,42,53,-11,37
13,Sisaket F.C.,2015,34,9,9,16,30,47,-17,36
14,Saraburi F.C.,2015,34,8,11,15,41,56,-15,35
15,Royal Thai Navy F.C.,2015,34,10,5,19,42,65,-23,35
16,Police Tero F.C.,2015,34,7,14,13,42,51,-9,35
17,Port F.C.,2015,34,10,3,21,31,49,-18,33
18,TOT S.C.,2015,34,3,7,24,25,71,-46,16
1,Buriram United F.C.,2014,38,23,10,5,69,26,43,79
2,Chonburi F.C.,2014,38,21,13,4,62,33,29,76
3,Police Tero F.C.,2014,38,18,14,6,66,41,25,68
4,Ratchaburi Mitr Phol F.C.,2014,38,17,14,7,62,42,20,65
5,SCG MUANGTHONG UNITED,2014,38,20,11,7,66,36,30,62
6,Suphanburi F.C.,2014,38,17,8,13,55,49,6,59
7,Chiangrai United F.C.,2014,38,13,16,9,55,47,8,55
8,Bangkok United F.C.,2014,38,15,9,14,55,56,-1,54
9,Army United F.C.,2014,38,14,11,13,52,55,-3,53
10,BG Pathum United F.C.,2014,38,14,7,17,70,65,5,49
11,Osotsapa M-150 Saraburi F.C.,2014,38,11,15,12,53,49,4,48
12,Sisaket F.C.,2014,38,12,10,16,48,59,-11,46
13,Port F.C.,2014,38,15,9,14,44,52,-8,45
14,Chainat Hornbill F.C.,2014,38,10,14,14,43,50,-7,44
15,TOT S.C.,2014,38,10,13,15,38,51,13,43
16,Police United F.C.,2014,38,11,10,17,58,64,-6,43
17,PTT Rayong F.C.,2014,38,10,12,16,49,60,-11,42
18,Songkhla United F.C.,2014,38,8,8,22,39,72,-33,32
19,Air Force United F.C.,2014,38,6,12,20,35,63,-28,30
20,GSE Samutsongkhram F.C.,2014,38,5,4,29,32,81,-49,19
